filepath,reading_time_minutes
_posts/social/2025-12-01-psychosocial-assistant.md,12
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,12
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,25
_posts/social/2025-08-08-secret-plans-rich-classes.md,180
_posts/social/2025-08-08-religion-utility-analysis-framework.md,25
_posts/social/2025-08-08-american-christianity-critique-2025.md,25
_posts/social/2025-07-11-temporal-social-dynamics.md,45
_posts/social/2025-07-11-crypto-conspiracy-paper.md,25
_posts/social/2025-07-08-supercritical-consciousness-race.md,25
_posts/social/2025-07-08-bird-ai-research-proposal.md,45
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,15
_posts/social/2025-07-07-social-protocols-paper.md,15
_posts/social/2025-07-07-social-compassion-game-theory.md,45
_posts/social/2025-07-07-public-health-protocol.md,25
_posts/social/2025-07-07-claude-paper-social-weight.md,8
_posts/social/2025-07-07-ai-mediated-executive-capture.md,45
_posts/social/2025-07-06-collaborative-ai-research-paper.md,45
_posts/social/2025-07-04-human-treatment-children.md,25
_posts/social/2025-07-03-social-truth-proposal.md,45
_posts/social/2025-07-03-post-scarcity-proposal.md,25
_posts/social/2025-07-03-hiring.md,45
_posts/social/2025-07-03-conversation-intelligence-paper.md,45
_posts/social/2025-07-03-cognitive-effort-paper.md,25
_posts/social/2025-07-02-quantum-trolling-paper.md,25
_posts/social/2025-07-02-afterlife-transition-paper.md,45
_posts/social/2025-07-01-neurodivergence-transhumanism.md,25
_posts/social/2025-06-30-sincerity-curiosity-paper.md,25
_posts/social/2025-06-30-managed-reality-paper.md,25
_posts/social/2025-06-30-iterative-recognition-paper.md,25
_posts/social/2025-06-30-institutional-decay-analysis.md,25
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,25
_posts/social/2025-06-30-game-theory-ethics.md,45
_posts/social/2025-06-30-decision-volume-temporal-theory.md,25
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,25
_posts/social/2025-06-30-consciousness-optimization-theory.md,25
_posts/social/2025-06-30-ai-justice-paper.md,25
_posts/phenomenology/2025-11-20-obedience-paradox.md,12
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,8
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,18
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,12
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,15
_posts/phenomenology/2025-07-03-resurrection-paper.md,15
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,20
_posts/phenomenology/2025-07-03-confused-ai-paper.md,25
_posts/phenomenology/2025-07-01-three-minds-paper.md,25
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,25
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,45
_posts/phenomenology/2025-07-01-claude-names-paper.md,15
_posts/phenomenology/2025-06-30-i-broke-claude.md,8
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,25
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/scifi/2025-11-20-bunker-resident-story.md,12
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,15
_posts/scifi/2025-07-08-quantum-gravity-paper.md,50
_posts/scifi/2025-07-03-unified-field-theory.md,45
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,25
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,45
_posts/scifi/2025-07-03-optimal-action-concrete.md,45
_posts/scifi/2025-07-02-quantum-social-field-theory.md,25
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,45
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,45
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,25
_posts/scifi/2025-06-30-neural-fabric-proposal.md,25
_posts/scifi/2025-06-30-multiverse-router-paper.md,25
_posts/scifi/2025-06-30-measurement-optimization-paper.md,25
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,45
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,45
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,45
_posts/projects/2025-12-06-arbitrary-precision.md,8
_posts/projects/2025-11-30-point-geometry.md,7
_posts/projects/2025-11-30-circuit-designer.md,12
_posts/projects/2025-11-29-nn-layer-20251128141956.md,25
_posts/projects/2025-11-29-layered-ca.md,8
_posts/projects/2025-11-27-nn-layer-20251127154041.md,45
_posts/projects/2025-11-27-math-proof-20251127173151.md,12
_posts/projects/2025-11-27-comicbook-xmas.md,12
_posts/projects/2025-11-27-comicbook-vectorclocks.md,15
_posts/projects/2025-11-27-comicbook-thanksgiving.md,12
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,45
_posts/projects/2025-11-22-parameric-manifolds.md,15
_posts/projects/2025-11-20-quantum-spacetime-sim.md,45
_posts/projects/2025-11-20-prototype-app-spec.md,15
_posts/projects/2025-11-20-jury-journalism-spec.md,12
_posts/projects/2025-11-20-distributed-cognition-research.md,25
_posts/projects/2025-11-20-dag-patch-spec.md,12
_posts/projects/2025-11-20-bwt-fulltext-spec.md,45
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,25
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,12
_posts/projects/2025-11-20-bcla-simulation-requirements.md,25
_posts/projects/2025-11-20-autonoma-research-paper.md,45
_posts/projects/2025-08-08-spiral-number-system.md,12
_posts/projects/2025-08-08-size-band-field-theory.md,45
_posts/projects/2025-08-08-rle-expectation-paper.md,45
_posts/projects/2025-08-08-regional-ai-futures.md,25
_posts/projects/2025-08-08-quantum-flux-theory.md,45
_posts/projects/2025-08-08-quantum-cst-paper.md,45
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,25
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,25
_posts/projects/2025-08-08-flood-memory-model.md,25
_posts/projects/2025-08-08-entropy-ant-computation.md,15
_posts/projects/2025-08-08-enhanced-ceprle-math.md,25
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,25
_posts/projects/2025-08-08-cst-multiverse-physics.md,25
_posts/projects/2025-08-08-ceprle-rust-implementation.md,45
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,25
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,25
_posts/projects/2025-08-08-autonoma-research-paper.md,45
_posts/projects/2025-08-08-agent-orchestration-language.md,25
_posts/projects/2025-07-11-agentic-cms-spec.md,45
_posts/projects/2025-07-09-wavelet-ca-paper.md,45
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,45
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,45
_posts/projects/2025-07-09-impossible-objects-paper.md,45
_posts/projects/2025-07-08-fundamental-oodp-paper.md,45
_posts/projects/2025-07-07-interdimensional-interference-paper.md,45
_posts/projects/2025-07-03-late-merge-paper.md,45
_posts/projects/2025-07-03-climate-protocol.md,45
_posts/projects/2025-07-03-archaeological-agents-proposal.md,25
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,45
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,25
_posts/projects/2025-06-30-parametric-ideation-paper.md,25
_posts/projects/2025-06-30-orbital-dynamics-paper.md,45
_posts/projects/2025-06-30-ontological-compiler-proposal.md,45
_posts/projects/2025-06-30-metacognitive-layer-paper.md,45
_posts/projects/2025-06-30-knots.md,45
_posts/projects/2025-06-30-knot-wavelets.md,45
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,25
_posts/projects/2025-06-30-geometric-optimization-proposal.md,45
_posts/projects/2025-06-30-bwt-tree-proposal.md,25
_posts/learning/2025-07-11-contextual-immersion-teaching.md,45
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,45
_posts/learning/2025-07-06-scientific-method-proposal.md,12
_posts/learning/2025-07-06-quantum-dropout-vision.md,18
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,45
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,25
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,14
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,25
_posts/learning/2025-07-06-dual-constraint-training-paper.md,25
_posts/learning/2025-07-06-dropout-decoherence-paper.md,25
_posts/learning/2025-07-06-coperm-paper.md,25
_posts/learning/2025-07-06-ai-software-development-paper.md,25
_posts/learning/2025-06-30-compression-classification-paper.md,25
_posts/portfolio/2025-07-03-actor-architecture-paper.md,25
_posts/portfolio/2025-07-01-trust-regions.md,25
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,25
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,25
_posts/portfolio/2025-07-01-qqn-paper.md,25
_posts/portfolio/2025-07-01-prompt-optimization.md,25
_posts/portfolio/2025-07-01-mindseye-technical-report.md,25
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,15
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,15
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,45
_posts/portfolio/2025-06-30-restm-research-paper.md,45
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,12
_posts/portfolio/2025-06-30-reference-counting-paper.md,25
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,15
_posts/portfolio/2025-06-30-ngram-paper.md,25
_posts/portfolio/2025-06-30-convolution-paper.md,15
